Job Title,Company Name,Location,job Type,Skills
AI Engineer,Arqitek Advisory DMCC -,"Dubai, United Arab Emirates ",Full Time,"['AI', ' · Information Technology (IT)', ' · Computer Science', 'Engineering', ' · Python', 'Software Engineering', ' · NLP']"
AI Engineer,Lucidya Aggregated -,"Riyadh, Saudi Arabia ",Full Time,"['AI', ' · Information Technology (IT)', ' · Computer Science', 'Engineering', ' · Python', 'Software Engineering', ' · NLP']"
Senior AI Engineer (Computer Vision Focus),Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time,"['AI', ' · Artificial Intelligence', ' · Computer Vision', ' · Machine Learning', ' · TensorFlow', ' · Python', ' · Computer Science', ' · Programming', ' · PyTorch']"
Junior Software Engineer in AI,ROBUSTA Aggregated -,"Cairo, Egypt ",Full Time,"[' · Information Technology (IT)', ' · Computer Science', ' · Software Development', 'Software Engineering', 'Computer Engineering', ' · C#', ' · SQL']"
Senior Python/AI Engineer,3i Vision LTD. -,"Hadayek Alahram, Giza, Egypt ",Full Time,"[' · Python', ' · Docker', ' · Computer Science', ' · Software', 'Software Engineering', ' · Design', ' · Information Technology (IT)', ' · Machine Learning']"
AI BI Research Engineer,Ewa  -,"Cairo, Egypt ",Full Time,"['AI', ' · Artificial Intelligence', ' · Business Intelligence', ' · BI']"
Mid-level AI Engineer,Noases -,"Nasr City, Cairo, Egypt ",Full Time,"['Software Engineering', ' · Information Technology (IT)', ' · Computer Science', 'Computer Engineering', ' · Programming', ' · Python', ' · NLP', ' · Machine Learning']"
Technology Specialists - Data & AI,Microsoft Aggregated -,"Riyadh, Saudi Arabia ",Full Time,"[' · Information Technology (IT)', ' · Computer Science', ' · Software', ' · Software Development', 'Engineering', ' · SQL', 'Software Engineering']"
AI Team Leader,Noases -,"Nasr City, Cairo, Egypt ",Full Time,"[' · People Management', ' · Project Management', ' · Information Technology (IT)', ' · Leadership', 'AI']"
MLOps Engineer - LLM & GenAI,Antal International - Egypt -,"Cairo, Egypt ",Full Time,"['ai', ' · artificial intelligence', ' · azure', ' · c#', ' · cloud', ' · computer science', ' · deployment', 'engineering']"
AI And Machine Learning Engineer,Pro Dev Tech  -,"Cairo, Egypt ",Full Time,"['AI', ' · Artificial Intelligence', ' · Information Technology (IT)', ' · Machine Learning', ' · Computer Science', 'Software Engineering', ' · Programming']"
Computer Studies Tutor,AlGooru Aggregated -,"Jeddah, Saudi Arabia ",Full Time,"[' · information technology (it)', ' · computer science', 'engineering', ' · microsoft office', ' · startup', ' · development', ' · is']"
AI & Analytics Senior Consultant,Robiquity -,"New Cairo, Cairo, Egypt ",Full Time,"[' · IBM Cognos', ' · IBM Watson', ' · Cognos', ' · Watson', ' · NLP', ' · Machine Learning']"
Robotics / Computer Science Instructor for kids,Edu-Zone -,"Cairo, Egypt ",Full Time,"[' · Software Development', 'Software Engineering', ' · Java Software Development', ' · Android Software', ' · Computer Science', 'Computer Engineering', ' · Computer Systems']"
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full Time,"[' · Data Science', ' · Computer Science', 'Computer Engineering', ' · Python', ' · Machine Learning', ' · Deep Learning', 'Artificial Intelligence (AI)']"
