Job Title,Company Name,Location,Job Type
AI Engineer,Arqitek Advisory DMCC -,"Dubai, United Arab Emirates ",Full Time
AI Engineer,Lucidya -,"Riyadh, Saudi Arabia ",Full Time
Senior AI Engineer (Computer Vision Focus),Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Junior Software Engineer in AI,ROBUSTA -,"Cairo, Egypt ",Full Time
Senior Python/AI Engineer,3i Vision LTD. -,"Hadayek Alahram, Giza, Egypt ",Full Time
AI BI Research Engineer,Ewa  -,"Cairo, Egypt ",Full Time
Mid-level AI Engineer,Noases -,"Nasr City, Cairo, Egypt ",Full Time
Technology Specialists - Data & AI,Microsoft -,"Riyadh, Saudi Arabia ",Full Time
AI Team Leader,Noases -,"Nasr City, Cairo, Egypt ",Full Time
MLOps Engineer - LLM & GenAI,Antal International - Egypt -,"Cairo, Egypt ",Full Time
AI And Machine Learning Engineer,Pro Dev Tech  -,"Cairo, Egypt ",Full Time
Computer Studies Tutor,AlGooru -,"Jeddah, Saudi Arabia ",Full Time
AI & Analytics Senior Consultant,Robiquity -,"New Cairo, Cairo, Egypt ",Full Time
Robotics / Computer Science Instructor for kids,Edu-Zone -,"Cairo, Egypt ",Full Time
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full Time
Teaching Assistant in Computer Science,(MSA) October University -,"6th of October, Giza, Egypt ",Full Time
Solution Area Specialists- Azure-Infra,Microsoft -,"Riyadh, Saudi Arabia ",Full Time
Artificial Intelligence Team Leader,Wakeb Data -,"Mohandessin, Giza, Egypt ",Full Time
Senior QA Engineer,Agolo Egypt -,"Cairo, Egypt ",Full Time
Senior Python Developer,DAF Holding -,"Cairo, Egypt ",Full Time
Senior Android Software Engineer,Microsoft -,"Cairo, Egypt ",Full Time
Android Software Engineer,Microsoft -,"Cairo, Egypt ",Full Time
Software Engineering,Microsoft -,"Cairo, Egypt ",Full Time
Senior Software Engineer,Microsoft -,"Cairo, Egypt ",Full Time
Software Engineer 2,Microsoft -,"Cairo, Egypt ",Full Time
Lead Golang Backend Engineer,Cafu -,"Dubai, United Arab Emirates ",Full Time
Machine Learning Software Engineer,DigiSay -,"Cairo, Egypt ",Full Time
Senior Backend Engineer,Albostany for real estate -,"Cairo, Egypt ",Full Time
Senior Software Quality Engineer,Albostany for real estate -,"Cairo, Egypt ",Full Time
Senior Software Engineer (Tech Lead) - Microsoft Copilot Platform,Microsoft -,"Cairo, Egypt ",Full Time
Business Technology Leader - Client Engineering,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time
Senior Cloud Engineer - LLM & GenAI,Antal International - Egypt -,"Cairo, Egypt ",Full Time
Industrial Engineer,Autocool -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Computer Science Instructor (For Kids),Edu-Zone -,"New Cairo, Cairo, Egypt ",Full Time
Business Performance Analyst,Lucidya -,"Riyadh, Saudi Arabia ",Full Time
Performance & Strategy Analyst,Lucidya -,"Riyadh, Saudi Arabia ",Full Time
Lead Programmer - Console,Games Factory Talents. -,"Riyadh, Saudi Arabia ",Full Time
Services Specialist - Technical Support,Baker Hughes -,"Riyadh, Saudi Arabia ",Full Time
Software Development Manager,Confidential -,"6th of October, Giza, Egypt ",Full Time
"Sr Manager, MENAT/SSA Startup",AWS EMEA SARL (Dubai Branch) - O51 -,"Dubai, United Arab Emirates ",Full Time
Customer Success Manager - Leader,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time
Senior Data Scientist,Teradata -,"Cairo, Egypt ",Full Time
"Partner Marketing Manager, MENAT",NVIDIA -,"Dubai, United Arab Emirates ",Full Time
Data Analyst,Momos -,"Dubai, United Arab Emirates ",Full Time
Automation Architect Sr. Analyst,Pepsi -,"Cairo, Egypt ",Full Time
