Job Title,Company Name,Location,Job Type
AI Engineer,Arqitek Advisory DMCC -,"Dubai, United Arab Emirates ",Full Time
AI Engineer,Lucidya -,"Riyadh, Saudi Arabia ",Full Time
Senior AI Engineer (Computer Vision Focus),Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Junior Software Engineer in AI,ROBUSTA -,"Cairo, Egypt ",Full Time
Senior Python/AI Engineer,3i Vision LTD. -,"Hadayek Alahram, Giza, Egypt ",Full Time
AI BI Research Engineer,Ewa  -,"Cairo, Egypt ",Full Time
Mid-level AI Engineer,Noases -,"Nasr City, Cairo, Egypt ",Full Time
Technology Specialists - Data & AI,Microsoft -,"Riyadh, Saudi Arabia ",Full Time
AI Team Leader,Noases -,"Nasr City, Cairo, Egypt ",Full Time
MLOps Engineer - LLM & GenAI,Antal International - Egypt -,"Cairo, Egypt ",Full Time
AI And Machine Learning Engineer,Pro Dev Tech  -,"Cairo, Egypt ",Full Time
Computer Studies Tutor,AlGooru -,"Jeddah, Saudi Arabia ",Full Time
AI & Analytics Senior Consultant,Robiquity -,"New Cairo, Cairo, Egypt ",Full Time
Robotics / Computer Science Instructor for kids,Edu-Zone -,"Cairo, Egypt ",Full Time
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full Time
