job title,company name,location,timetype_Skills
,,,
Alexandria Call Center Advisor _VOIS Uk WFH,_VOIS Egypt -,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills
,,,
Call Center Agent,GLOBAL AUTO -,"Katameya, Cairo, Egypt ",Full TimePart TimeEntry Level · 1 - 4 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Support
,,,
Corporate Account- Call Center Representative,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 10 Yrs of Exp · Banking · Customer Service/Support · Call Center · Communication · Customer Focus · Communication skills · Customer Care · Customer Service · Customer Support · Customer
,,,
"Call center - English speakers - customer service (Etisalat UAE,graduates)",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · Call Center · Customer Relations · Customer Satisfaction · Customer Retention · Customer Service Management · Customer Experience
,,,
"Call Center Advisor (English Account), Etisalat UAE Project",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Banking · Customer Service/Support · Sales/Retail · Benefits · Call Center · Customer Care · Customer Service · Customer Support · Hiring · Medical
,,,
"Call Center Advisor (English Queue), Etisalat UAE project (Corporate Account)",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · Customer Service/Support · Operations/Management · Sales/Retail · Benefits · Call Center · Customer Care · Customer Service · Customer Support · Medical · Training
,,,
First Waves - English Call Center Representative,Sutherland -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedEntry Level · Customer Service/Support · Other · Sales/Retail · Call Center · CS · Customer · Customer Care · Customer Service · Customer Support · Customer Retention
,,,
Technical Customer Support Advisor (Call Center),Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedEntry Level · Customer Service/Support · Customer Support · Customer Service · Technical Support · Call Center · Customer Care
,,,
Call Center Representative (Roadside Assistance),Egypt Assistance  -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Care · Customer Service · English · Russian
,,,
Call Center Agent,Artal Egypt -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Communication · Customer · CRM · Customer Support · Customer Care · English
,,,
Call Center Agent - Order Taker,Universal Payment Services -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1+ Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Call Center · Customer Care · Customer Service · Customer Support · English · Arabic · Leadership
,,,
Call Center - Digital Marketing Sales Representatives/Fluent English Speakers Only /Cairo Residents Only,Premium Ranks -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Sales · Sales Skills · Customer Service · Customer Care · Customer Support · Communication skills · English
,,,
English Call Center Agents(Services Company in UAE )….,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Customer support · Customer service · Customer Care · English · Call Center · Sales · c1 · UAE
,,,
French Call Center Associate - Work from Home,Sutherland -,"Alexandria, Egypt ",Full TimeWork From HomeEntry Level · Customer Service/Support · Customer Care · Call Center · french · Customer Support · Customer Service · canada
,,,
Call Center Executive,Roya Developments -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Customer Service/Support · Call Center · CRM · Customer Care · Customer Service · Customer Support
,,,
Call Center Supervisor,Talents Mine Aggregated -,"Kuwait City, Kuwait ",Full TimeNot specified · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Microsoft Office · Communication Skills · Contact Center
,,,
Call Center Agent,Talaat Moustafa Group -,"Madinaty, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Call Center · Communication · Customer Care · Customer Service · Communication skills · Customer Support · real-estate
,,,
English Call Center Agents(Services Company in UAE )…,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Customer support · Customer service · Customer Care · English · Call Center · Sales · c1 · UAE
,,,
